id,type,path,version,addedOn,updatedOn,removedOn,assetBundleName,assetBundlePersistent,assetBundleCRC,<IsTemplate>k__BackingField,addendum
chrPrfMech_atlasBacker-SBA,Prefab,Assets/Resources/UnlockedAssets/Prefabs/chrPrfMech_atlasBacker-SBA.prefab,180,2018-03-06T22:48:44.0360671Z,2020-02-21T06:04:07.2562578Z,,chrprfmech_atlasbacker-sba,False,4214366826,False,False
chrPrfMech_atlasBacker-VALHA,Prefab,Assets/Resources/UnlockedAssets/Prefabs/chrPrfMech_atlasBacker-VALHA.prefab,180,2018-03-06T22:48:43.5104796Z,2020-02-21T06:04:07.2582577Z,,chrprfmech_atlasbacker-valha,False,4103200175,False,False
chrPrfWeap_atlas_centertorso_blank_eh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_centertorso_blank_eh1.prefab,342,2018-02-27T00:34:49.1969277Z,2019-05-17T19:52:25.7346773Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_centertorso_blank_eh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_centertorso_blank_eh2.prefab,342,2018-02-27T00:34:49.1969277Z,2019-05-17T19:52:25.7206533Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_centertorso_flamer_eh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_centertorso_flamer_eh1.prefab,342,2018-02-27T00:34:49.1999278Z,2019-05-17T19:52:24.4744167Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_centertorso_flamer_eh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_centertorso_flamer_eh2.prefab,342,2018-02-27T00:34:49.2009289Z,2019-05-17T19:52:24.4996125Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_centertorso_laser_eh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_centertorso_laser_eh1.prefab,342,2018-02-27T00:34:49.2009289Z,2019-05-17T19:52:25.1068252Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_centertorso_laser_eh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_centertorso_laser_eh2.prefab,342,2018-02-27T00:34:49.2019295Z,2019-05-17T19:52:25.1047915Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_flamer_eh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_flamer_eh1.prefab,342,2018-02-27T00:34:49.2019295Z,2019-05-17T19:52:25.1388190Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_flamer_eh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_flamer_eh2.prefab,342,2018-02-27T00:34:49.2029301Z,2019-05-17T19:52:25.0762620Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_flamer_eh3,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_flamer_eh3.prefab,342,2018-02-27T00:34:49.2060421Z,2019-05-17T19:52:25.0782623Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_laser_eh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_laser_eh1.prefab,342,2018-02-27T00:34:49.2060421Z,2019-05-17T19:52:25.2181513Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_laser_eh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_laser_eh2.prefab,342,2018-02-27T00:34:49.2060421Z,2019-05-17T19:52:25.3784855Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_laser_eh3,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_laser_eh3.prefab,342,2018-02-27T00:34:49.2070434Z,2019-05-17T19:52:25.1368206Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_ppc_eh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_ppc_eh1.prefab,342,2018-02-27T00:34:49.2070434Z,2019-05-17T19:52:25.6420366Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_leftarm_ppc_eh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_leftarm_ppc_eh2.prefab,342,2018-02-27T00:34:49.2080423Z,2019-05-17T19:52:25.3744856Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_lefttorso_lrm10_mh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_lefttorso_lrm10_mh1.prefab,342,2018-02-27T00:34:49.2080423Z,2019-05-17T19:52:23.7023355Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_lefttorso_lrm5_mh1,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_lefttorso_lrm5_mh1.prefab,342,2018-02-27T00:34:49.2090446Z,2019-05-17T19:52:24.0311582Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_lefttorso_lrm5_mh2,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_lefttorso_lrm5_mh2.prefab,342,2018-02-27T00:34:49.2090446Z,2019-05-17T19:52:24.1433024Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_lefttorso_lrm5_mh3,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_lefttorso_lrm5_mh3.prefab,342,2018-02-27T00:34:49.2100435Z,2019-05-17T19:52:24.0542525Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_lefttorso_lrm5_mh4,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_lefttorso_lrm5_mh4.prefab,342,2018-02-27T00:34:49.2100435Z,2019-05-17T19:52:24.1967448Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
chrPrfWeap_atlas_lefttorso_narc_mh4,Prefab,Assets/Character/Mechs/Prefabs/Weapons/Atlas/chrPrfWeap_atlas_lefttorso_narc_mh4.prefab,342,2018-02-27T00:34:49.2100435Z,2019-05-17T19:52:25.6430365Z,,chrprfmech_atlasbase-001,False,1812765192,False,False
