[16:24:36.089]Initing... C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CustomUnitDecorator version: 1.0.0.3
[16:24:53.796]FinishedLoading
[16:24:53.796]DropCostsEnhanced Detecting
 DropCostsEnhanced assembly found
 DropCostsEnhanced.DropCostManager found
 DropCostsEnhanced.DropCostManager.Instance found
 DropCostsEnhanced.DropCostManager.CalculateMechCost found
[16:25:06.984]MechDef.GatherDependencies mechdef_shadowhawk_SHD-2D
[16:25:06.987]MechDef.GatherDependencies mechdef_shadowhawk_SHD-2H
[16:25:08.086]MechDef.GatherDependencies chassisdef_shadowhawk_SHD-2D
[16:25:08.259]MechDef.GatherDependencies chassisdef_shadowhawk_SHD-2H
[16:25:11.390]MechDef.GatherDependencies mechdef_spider_SDR-5V
[16:25:11.424]MechDef.GatherDependencies chassisdef_spider_SDR-5V
[16:25:49.472]MechDef.GatherDependencies mechdef_atlas_AS7-D-HT
[16:25:49.474]MechDef.GatherDependencies mechdef_atlas_AS7-D
[16:25:49.476]MechDef.GatherDependencies mechdef_awesome_AWS-8Q
[16:25:49.477]MechDef.GatherDependencies mechdef_awesome_AWS-8T
[16:25:49.478]MechDef.GatherDependencies mechdef_banshee_BNC-3E
[16:25:49.480]MechDef.GatherDependencies mechdef_banshee_BNC-3M
[16:25:49.481]MechDef.GatherDependencies mechdef_battlemaster_BLR-1G
[16:25:49.482]MechDef.GatherDependencies mechdef_blackjack_BJ-1-STARTER
[16:25:49.484]MechDef.GatherDependencies mechdef_blackjack_BJ-1
[16:25:49.486]MechDef.GatherDependencies mechdef_blackknight_BL-6-KNT
[16:25:49.487]MechDef.GatherDependencies mechdef_blackknight_BL-6b-KNT
[16:25:49.488]MechDef.GatherDependencies mechdef_cataphract_CTF-1X
[16:25:49.490]MechDef.GatherDependencies mechdef_catapult_CPLT-C1
[16:25:49.491]MechDef.GatherDependencies mechdef_catapult_CPLT-K2
[16:25:49.492]MechDef.GatherDependencies mechdef_centurion_CN9-A
[16:25:49.494]MechDef.GatherDependencies mechdef_centurion_CN9-AL
[16:25:49.495]MechDef.GatherDependencies mechdef_centurion_CN9-AS
[16:25:49.495]MechDef.GatherDependencies mechdef_centurion_TARGETDUMMY
[16:25:49.497]MechDef.GatherDependencies mechdef_cicada_CDA-2A
[16:25:49.498]MechDef.GatherDependencies mechdef_cicada_CDA-3C
[16:25:49.499]MechDef.GatherDependencies mechdef_commando_COM-1B
[16:25:49.500]MechDef.GatherDependencies mechdef_commando_COM-2D
[16:25:49.501]MechDef.GatherDependencies mechdef_dragon_DRG-1N
[16:25:49.502]MechDef.GatherDependencies mechdef_enforcer_ENF-4R
[16:25:49.504]MechDef.GatherDependencies mechdef_firestarter_FS9-H
[16:25:49.505]MechDef.GatherDependencies mechdef_grasshopper_GHR-5H
[16:25:49.506]MechDef.GatherDependencies mechdef_griffin_GRF-1N
[16:25:49.508]MechDef.GatherDependencies mechdef_griffin_GRF-1S
[16:25:49.509]MechDef.GatherDependencies mechdef_griffin_GRF-4N
[16:25:49.510]MechDef.GatherDependencies mechdef_highlander_HGN-732b
[16:25:49.512]MechDef.GatherDependencies mechdef_highlander_HGN-733
[16:25:49.513]MechDef.GatherDependencies mechdef_highlander_HGN-733P
[16:25:49.515]MechDef.GatherDependencies mechdef_hunchback_HBK-4G
[16:25:49.516]MechDef.GatherDependencies mechdef_hunchback_HBK-4P
[16:25:49.518]MechDef.GatherDependencies mechdef_jagermech_JM6-A
[16:25:49.519]MechDef.GatherDependencies mechdef_jagermech_JM6-S
[16:25:49.520]MechDef.GatherDependencies mechdef_jenner_JR7-D
[16:25:49.521]MechDef.GatherDependencies mechdef_kingcrab_KGC-0000
[16:25:49.523]MechDef.GatherDependencies mechdef_kingcrab_KGC-V-0000
[16:25:49.524]MechDef.GatherDependencies mechdef_kintaro_KTO-18
[16:25:49.525]MechDef.GatherDependencies mechdef_locust_LCT-1M
[16:25:49.526]MechDef.GatherDependencies mechdef_locust_LCT-1S
[16:25:49.527]MechDef.GatherDependencies mechdef_locust_LCT-1V
[16:25:49.529]MechDef.GatherDependencies mechdef_orion_ON1-K
[16:25:49.530]MechDef.GatherDependencies mechdef_orion_ON1-V
[16:25:49.532]MechDef.GatherDependencies mechdef_panther1b_PNT-9R
[16:25:49.533]MechDef.GatherDependencies mechdef_panther_PNT-9R
[16:25:49.534]MechDef.GatherDependencies mechdef_panther_TARGETDUMMY
[16:25:49.536]MechDef.GatherDependencies mechdef_quickdraw_QKD-4G
[16:25:49.537]MechDef.GatherDependencies mechdef_quickdraw_QKD-5A
[16:25:49.539]MechDef.GatherDependencies mechdef_shadowhawk1b_SHD-2D
