Weapon,1,1
Weapon_Laser_LargeLaser_0-STOCK,Weapon,1,1
Weapon_Laser_LargeLaser_1-Diverse_Optics,Weapon,1,1
Weapon_Laser_LargeLaser_1-ExoStar,Weapon,1,1
Weapon_Laser_LargeLaser_1-Intek,Weapon,1,1
Weapon_Laser_LargeLaser_2-Diverse_Optics,Weapon,1,1
Weapon_Laser_LargeLaser_2-ExoStar,Weapon,1,1
Weapon_Laser_LargeLaser_2-Intek,Weapon,1,1
Weapon_Laser_LargeLaser_2-Magna,Weapon,1,1
Weapon_Laser_LargeLaser_3-Magna,Weapon,1,1
Weapon_Laser_LargeLaserER_0-STOCK,Weapon,1,1
Weapon_Laser_LargeLaserER_1-Blankenburg25,Weapon,1,1
Weapon_Laser_LargeLaserER_2-BlazeFire,Weapon,1,1
Weapon_Laser_MediumLaser_0-STOCK,Weapon,1,1
Weapon_Laser_MediumLaser_1-ExoStar,Weapon,1,1
Weapon_Laser_MediumLaser_1-Intek,Weapon,1,1
Weapon_Laser_MediumLaser_1-Magna,Weapon,1,1
Weapon_Laser_MediumLaser_2-Diverse_Optics,Weapon,1,1
Weapon_Laser_MediumLaser_2-ExoStar,Weapon,1,1
Weapon_Laser_MediumLaser_2-Intek,Weapon,1,1
Weapon_Laser_MediumLaser_2-Magna,Weapon,1,1
Weapon_Laser_MediumLaser_3-Diverse_Optics,Weapon,1,1
Weapon_Laser_MediumLaserER_0-STOCK,Weapon,1,1
Weapon_Laser_MediumLaserER_1-MagnaVI,Weapon,1,1
Weapon_Laser_MediumLaserER_2-BrightBloom,Weapon,1,1
Weapon_Laser_SmallLaser_0-STOCK,Weapon,1,1
Weapon_Laser_SmallLaser_1-Diverse_Optics,Weapon,1,1
Weapon_Laser_SmallLaser_1-ExoStar,Weapon,1,1
Weapon_Laser_SmallLaser_1-Magna,Weapon,1,1
Weapon_Laser_SmallLaser_2-Diverse_Optics,Weapon,1,1
Weapon_Laser_SmallLaser_2-ExoStar,Weapon,1,1
Weapon_Laser_SmallLaser_2-Intek,Weapon,1,1
Weapon_Laser_SmallLaser_2-Magna,Weapon,1,1
Weapon_Laser_SmallLaser_3-Intek,Weapon,1,1
Weapon_Laser_SmallLaserER_0-STOCK,Weapon,1,1
Weapon_Laser_SmallLaserER_1-Diverse_Optics,Weapon,1,1
Weapon_Laser_SmallLaserER_2-BlazeFire,Weapon,1,1
